,AGE,L??ng,Gi?i tính,K?t qu? t?p train ,Z',"True = 1, Fales=0",??i c?t H,Purchased= y_train ,TinhdoChinhxac,KQ,,,,,,,,
0,0.319491418,-0.726559964,1.020204061,-0.97552876,0.273779876,FALSE,0,0,1,305,,,,,,Bang giatri,,
1,0.701543935,-0.726559964,-0.980196059,-0.469385647,0.384761663,FALSE,0,1,0,0.844875346,,,0,0,TN,,0,1
2,-1.304231782,-1.490046235,1.020204061,-5.298874184,0.004972369,FALSE,0,0,1,,,,0,1,FP,0,214,38
3,-0.731153005,-0.609100538,1.020204061,-3.108968249,0.042738836,FALSE,0,0,1,,,,1,0,FN,1,17,91
4,-0.158074229,-0.197992546,-0.980196059,-1.745304758,0.148640384,FALSE,0,0,1,,,,1,1,TP,,,
5,-0.444613617,-1.137667956,1.020204061,-3.066317077,0.044518223,FALSE,0,0,1,,,,,,,,,
6,0.988083323,1.886912272,-0.980196059,2.985274379,0.951904421,TRUE,1,1,1,,,,,,,,,
7,0.128465159,-0.814654534,1.020204061,-1.482281872,0.185083003,FALSE,0,0,1,,,,,,,,,
8,-0.0625611,0.301210016,-0.980196059,-0.997665237,0.269400711,FALSE,0,0,1,,,,,,,,,
9,-1.686284299,0.477399156,1.020204061,-3.984561285,0.018260938,FALSE,0,0,1,,,,,,,,,
10,-0.922179264,1.56389885,1.020204061,-1.160350503,0.238603603,FALSE,0,1,0,,,,,,,,,
11,-0.158074229,1.651993419,-0.980196059,0.263635035,0.565529653,TRUE,1,1,1,,,,,,,,,
12,0.892570194,-0.579735681,-0.980196059,0.101143332,0.525264299,TRUE,1,1,1,,,,,,,,,
13,-0.253587358,0.09565602,1.020204061,-1.315934569,0.21149547,FALSE,0,0,1,,,,,,,,,
14,0.415004547,-0.491641111,-0.980196059,-0.830916151,0.30345139,FALSE,0,0,1,,,,,,,,,
15,-0.0625611,0.213115447,1.020204061,-0.777293523,0.314903487,FALSE,0,0,1,,,,,,,,,
16,0.988083323,0.594858582,1.020204061,1.898240831,0.869692293,TRUE,1,1,1,,,,,,,,,
17,-1.113205523,0.330574873,1.020204061,-2.910733012,0.051625535,FALSE,0,0,1,,,,,,,,,
18,1.370135841,-0.93211396,-0.980196059,0.746211416,0.678352626,TRUE,1,1,1,,,,,,,,,
19,2.038727746,2.151195981,1.020204061,5.849292513,0.997126344,TRUE,1,1,1,,,,,,,,,
20,-1.208718652,0.506764012,1.020204061,-2.924950069,0.050933884,FALSE,0,0,1,,,,,,,,,
21,0.988083323,0.771047722,-0.980196059,1.773532917,0.854896474,TRUE,1,1,1,,,,,,,,,
22,0.03295203,-0.550370825,1.020204061,-1.40083513,0.197683622,FALSE,0,0,1,,,,,,,,,
23,-0.0625611,2.180560838,1.020204061,1.359198003,0.795629321,TRUE,1,1,1,,,,,,,,,
24,1.847701488,1.534533993,-0.980196059,4.452521089,0.988484979,TRUE,1,1,1,,,,,,,,,
25,0.701543935,0.27184516,1.020204061,0.930839596,0.71724559,TRUE,1,0,0,,,,,,,,,
26,0.415004547,-0.139262832,1.020204061,-0.132225439,0.466991718,FALSE,0,0,1,,,,,,,,,
27,1.752188358,1.857547415,1.020204061,4.913779211,0.992708872,TRUE,1,1,1,,,,,,,,,
28,-1.686284299,-1.372586809,-0.980196059,-6.309536591,0.001815574,FALSE,0,0,1,,,,,,,,,
29,0.03295203,0.301210016,-0.980196059,-0.79212058,0.311713521,FALSE,0,0,1,,,,,,,,,
30,-0.0625611,0.066291164,1.020204061,-0.936733189,0.281560695,FALSE,0,0,1,,,,,,,,,
31,0.128465159,0.771047722,1.020204061,0.239666521,0.559631467,TRUE,1,1,1,,,,,,,,,
32,-0.922179264,-0.961478817,-0.980196059,-4.218748274,0.014503604,FALSE,0,0,1,,,,,,,,,
33,-0.922179264,-0.315451972,1.020204061,-3.201178229,0.039121408,FALSE,0,0,1,,,,,,,,,
34,-0.826666135,0.389304586,-0.980196059,-2.546358689,0.072671493,FALSE,0,0,1,,,,,,,,,
35,0.223978288,-0.286087115,-0.980196059,-1.018789931,0.265263174,FALSE,0,0,1,,,,,,,,,
36,-0.444613617,-0.84401939,-0.980196059,-3.063473258,0.044639346,FALSE,0,0,1,,,,,,,,,
37,-1.49525804,-0.432911398,-0.980196059,-4.878033415,0.007554465,FALSE,0,0,1,,,,,,,,,
38,2.038727746,0.389304586,-0.980196059,3.619981007,0.973915442,TRUE,1,0,0,,,,,,,,,
39,0.892570194,-1.167032813,-0.980196059,-0.536615332,0.368975293,FALSE,0,1,0,,,,,,,,,
40,-0.0625611,0.27184516,1.020204061,-0.713517656,0.328822033,FALSE,0,1,0,,,,,,,,,
41,0.03295203,-0.256722259,1.020204061,-1.081955798,0.253136079,FALSE,0,0,1,,,,,,,,,
42,-1.686284299,0.125020877,1.020204061,-4.367216483,0.012527573,FALSE,0,0,1,,,,,,,,,
43,-1.017692393,0.536128869,1.020204061,-2.481972823,0.077131655,FALSE,0,0,1,,,,,,,,,
44,-1.399744911,-1.225762526,-0.980196059,-5.533462955,0.00393672,FALSE,0,0,1,,,,,,,,,
45,-0.540126747,0.477399156,-0.980196059,-1.83406092,0.137755212,FALSE,0,0,1,,,,,,,,,
46,-1.59077117,0.536128869,1.020204061,-3.715240762,0.02377077,FALSE,0,0,1,,,,,,,,,
47,-0.922179264,0.565493726,1.020204061,-2.244540233,0.095821455,FALSE,0,0,1,,,,,,,,,
48,-1.781797428,-1.284492239,-0.980196059,-6.419417448,0.001626954,FALSE,0,0,1,,,,,,,,,
49,-0.635639876,0.18375059,1.020204061,-2.042449395,0.114817554,FALSE,0,0,1,,,,,,,,,
50,1.752188358,-0.286087115,1.020204061,2.585960086,0.92995251,TRUE,1,1,1,,,,,,,,,
51,-0.635639876,-0.051168263,-0.980196059,-2.613588374,0.068268999,FALSE,0,0,1,,,,,,,,,
52,-0.253587358,-1.401951665,1.020204061,-2.942219163,0.050105547,FALSE,0,0,1,,,,,,,,,
53,2.038727746,-0.814654534,-0.980196059,2.312575745,0.909913215,TRUE,1,0,0,,,,,,,,,
54,-1.113205523,0.301210016,-0.980196059,-3.258656458,0.037017072,FALSE,0,0,1,,,,,,,,,
55,-1.877310558,-0.521005968,1.020204061,-5.479840327,0.004152679,FALSE,0,0,1,,,,,,,,,
56,1.46564897,1.005966574,-0.980196059,3.056359665,0.955056299,TRUE,1,1,1,,,,,,,,,
57,-1.017692393,0.594858582,1.020204061,-2.418196956,0.081795571,FALSE,0,0,1,,,,,,,,,
58,-0.635639876,0.036926307,-0.980196059,-2.517924575,0.074611115,FALSE,0,0,1,,,,,,,,,
59,-0.731153005,0.301210016,1.020204061,-2.120442319,0.107125755,FALSE,0,0,1,,,,,,,,,
60,-0.922179264,0.27184516,1.020204061,-2.563419565,0.071530104,FALSE,0,0,1,,,,,,,,,
61,-0.922179264,0.448034299,-0.980196059,-2.688127479,0.063677572,FALSE,0,0,1,,,,,,,,,
62,0.319491418,0.066291164,-0.980196059,-0.430590076,0.393985436,FALSE,0,0,1,,,,,,,,,
63,2.134240876,-1.049573386,1.020204061,2.579052449,0.929501203,TRUE,1,1,1,,,,,,,,,
64,0.797057065,0.35993973,-0.980196059,0.916012539,0.714228937,TRUE,1,0,0,,,,,,,,,
65,0.892570194,-1.049573386,1.020204061,-0.093028086,0.476759737,FALSE,0,1,0,,,,,,,,,
66,-0.444613617,-0.021803406,-0.980196059,-2.170611128,0.102420838,FALSE,0,0,1,,,,,,,,,
67,-1.113205523,-1.607505662,1.020204061,-5.015336604,0.00659166,FALSE,0,0,1,,,,,,,,,
68,-0.158074229,2.180560838,1.020204061,1.153653346,0.760177583,TRUE,1,1,1,,,,,,,,,
69,-0.253587358,-0.93211396,1.020204061,-2.432012231,0.080763951,FALSE,0,0,1,,,,,,,,,
70,-0.635639876,-1.519411092,1.020204061,-3.891949522,0.019997467,FALSE,0,0,1,,,,,,,,,
71,1.370135841,1.29961514,-0.980196059,3.169694341,0.959677758,TRUE,1,0,0,,,,,,,,,
72,-0.349100488,-0.785289677,1.020204061,-2.478117222,0.077406553,FALSE,0,0,1,,,,,,,,,
73,-1.208718652,0.301210016,1.020204061,-3.148165601,0.041163619,FALSE,0,0,1,,,,,,,,,
74,1.46564897,0.066291164,1.020204061,2.351981315,0.913091584,TRUE,1,1,1,,,,,,,,,
75,0.701543935,-1.284492239,1.020204061,-0.759220865,0.318815449,FALSE,0,1,0,,,,,,,,,
76,-0.0625611,-0.491641111,1.020204061,-1.54260392,0.17615706,FALSE,0,0,1,,,,,,,,,
77,2.134240876,0.947236861,1.020204061,4.747431908,0.991400648,TRUE,1,1,1,,,,,,,,,
78,-0.540126747,1.38770971,-0.980196059,-0.84553499,0.300370333,FALSE,0,0,1,,,,,,,,,
79,0.415004547,0.301210016,1.020204061,0.346093559,0.585669958,TRUE,1,0,0,,,,,,,,,
80,1.083596453,-0.990843673,-0.980196059,0.06580158,0.516444462,TRUE,1,1,1,,,,,,,,,
81,0.892570194,-1.460681379,1.020204061,-0.539459151,0.368313406,FALSE,0,1,0,,,,,,,,,
82,1.179109582,-0.990843673,-0.980196059,0.271346237,0.567423374,TRUE,1,1,1,,,,,,,,,
83,-0.253587358,0.213115447,-0.980196059,-1.504418349,0.181767467,FALSE,0,0,1,,,,,,,,,
84,-0.635639876,-0.344816828,1.020204061,-2.616432193,0.068088331,FALSE,0,0,1,,,,,,,,,
85,0.415004547,-0.168627689,1.020204061,-0.164113372,0.459063495,FALSE,0,0,1,,,,,,,,,
86,0.510517677,1.740087989,1.020204061,2.114146944,0.892270602,TRUE,1,1,1,,,,,,,,,
87,0.701543935,-1.401951665,1.020204061,-0.886772598,0.291776299,FALSE,0,1,0,,,,,,,,,
88,-0.826666135,-0.785289677,1.020204061,-3.505840504,0.029146507,FALSE,0,0,1,,,,,,,,,
89,1.943214617,0.741682865,-0.980196059,3.797091549,0.978056394,TRUE,1,1,1,,,,,,,,,
90,0.319491418,-0.550370825,-0.980196059,-1.100236674,0.249695551,FALSE,0,0,1,,,,,,,,,
91,-0.253587358,0.800412578,-0.980196059,-0.866659685,0.295949827,FALSE,0,1,0,,,,,,,,,
92,-0.826666135,0.154385733,1.020204061,-2.485426641,0.076886163,FALSE,0,0,1,,,,,,,,,
93,0.223978288,-0.374181685,1.020204061,-0.798418218,0.310363979,FALSE,0,0,1,,,,,,,,,
94,0.319491418,-1.167032813,-0.980196059,-1.769883272,0.145556846,FALSE,0,0,1,,,,,,,,,
